web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,release_date,runtime,genres,spoken_languages,production_countries
https://www.nytimes.com/2023/09/21/movies/cassandro-review.html,Gael García Bernal plays a flamboyant figure taking the world of Mexican professional wrestling by storm in this underdog drama directed by Roger Ross Williams.,The New York Times,"subject: Movies;creative_works: Cassandro (Movie);persons: Williams, Roger Ross;persons: Garcia Bernal, Gael;persons: Castillo, Raul;persons: Teague, David W (1964- );persons: Colindrez, Roberta;",2023-09-21T09:00:41+0000,592,‘Cassandro’ Review: Love and Lucha Libre,,,Fighting to Be Free  In the Ring and Out,,,,By Natalia Winkelman,,‘Cassandro’ Review,,,nan,nan,nan
https://www.nytimes.com/2023/10/05/movies/my-love-affair-with-marriage-review.html,This animated musical about a young woman’s sexual and romantic awakening uses a gloriously tactile aesthetic.,The New York Times,"subject: Movies;persons: Baumane, Signe;persons: Dominczyk, Dagmara;creative_works: My Love Affair With Marriage (Movie);",2023-10-05T11:00:31+0000,254,‘My Love Affair With Marriage’ Review: A Tale of Love and Loss,Critic’s Pick,,My Love Affair  With Marriage,,,,By Natalia Winkelman,,‘My Love Affair With Marriage’ Review,,,nan,nan,nan
https://www.nytimes.com/1982/05/09/movies/film-view-how-smash-palace-plumbs-the-ruins-of-love.html,,The New York Times,subject: MOTION PICTURES;,1982-05-09T05:00:00+0000,1601,HOW 'SMASH PALACE' PLUMBS THE RUINS OF LOVE,FILM VIEW,,FILM VIEW; HOW 'SMASH PALACE' PLUMBS THE RUINS OF LOVE,,,,By Vincent Canby,,HOW 'SMASH PALACE' PLUMBS THE RUINS OF LOVE,,,nan,nan,nan
https://www.nytimes.com/1995/09/15/movies/theater-review-they-meet-they-love-he-s-a-boor-she-s-dim.html,,The New York Times,subject: Reviews;subject: MOTION PICTURES;creative_works: Standing By (Movie);,1995-09-15T05:00:00+0000,562,"They Meet, They Love, He's a Boor, She's Dim",THEATER REVIEW,,"THEATER REVIEW; They Meet, They Love, He's a Boor, She's Dim",,,,By Vincent Canby,,"They Meet, They Love, He's a Boor, She's Dim",,,nan,nan,nan
https://www.nytimes.com/1993/04/23/movies/review-film-love-recaptured-far-from-the-alaskan-tundra.html,Young Eskimo and sweetheart. Colorfully eccentric odyssey but conventional core. Best for eerily authentic Arctic episodes.,The New York Times,subject: Reviews;subject: MOTION PICTURES;creative_works: Map of the Human Heart (Movie);,1993-04-23T05:00:00+0000,1031,"Review/Film; Love Recaptured, Far From the Alaskan Tundra",,,"Review/Film; Love Recaptured, Far From the Alaskan Tundra",,,,By Janet Maslin,,"Review/Film; Love Recaptured, Far From the Alaskan Tundra",,,nan,nan,nan
https://www.nytimes.com/1997/04/18/movies/love-blooms-amid-the-grit.html,"Excerpts from Stephen Holden's April 2, 1996 review of film To Have (or Not), which was shown as part of New Directors/New Films series (S)",The New York Times,subject: MOTION PICTURES;subject: Reviews;creative_works: TO HAVE (OR NOT) (MOVIE);,1997-04-18T05:00:00+0000,389,Love Blooms Amid the Grit,,,Love Blooms Amid the Grit,,,,By Stephen Holden,,Love Blooms Amid the Grit,,,nan,nan,nan
https://www.nytimes.com/2006/10/06/movies/06empl.html,"Directed by Greg Coolidge with the flair of a training video, “Employee of the Month” turns work into a game and love into a sporting event. ",The New York Times,subject: MOTION PICTURES;,2006-10-06T04:00:00+0000,384,Minimum-Wage Slackers in Love,Movie Review | 'Employee of the Month',,,,,,By Jeannette Catsoulis,,Minimum-Wage Slackers in Love,,,nan,nan,nan
https://www.nytimes.com/2000/06/30/movies/theater-review-true-love-and-a-crisis-at-christmas-when-else.html,"Bruce Weber reviews play The Crumple Zone by Buddy Thomas, at Rattlestick Theater; photo (M)",The New York Times,"organizations: RATTLESTICK THEATER;persons: Thomas, Buddy;subject: Reviews;subject: Theater;creative_works: CRUMPLE ZONE, THE (PLAY);",2000-06-30T05:00:00+0000,1026,True Love and a Crisis at Christmas (When Else)?,THEATER REVIEW,,THEATER REVIEW; True Love and a Crisis at Christmas (When Else)?,,,,By Bruce Weber,,True Love and a Crisis at Christmas (When Else)?,,,nan,nan,nan
https://www.nytimes.com/1999/11/05/movies/film-review-to-what-great-lengths-true-love-will-travel.html,,The New York Times,"persons: Pappas, Robert Kane;subject: MOTION PICTURES;subject: Reviews;creative_works: Some Fish Can Fly (Movie);",1999-11-05T05:00:00+0000,398,To What Great Lengths True Love Will Travel,FILM REVIEW,,FILM REVIEW; To What Great Lengths True Love Will Travel,,,,By Lawrence Van Gelder,,To What Great Lengths True Love Will Travel,,,nan,nan,nan
https://www.nytimes.com/1987/03/08/movies/movies-fool-for-love.html,,The New York Times,subject: Recordings (Video);subject: Reviews;subject: MOTION PICTURES;subject: CASSETTES;creative_works: Fool for Love (Movie);,1987-03-08T05:00:00+0000,229,FOOL FOR LOVE,MOVIES,,MOVIES; FOOL FOR LOVE,,,,By Vincent Canby,,FOOL FOR LOVE,,,nan,nan,nan
https://www.nytimes.com/2011/02/11/movies/11just.html,"“Just Go With It,” a remake of the romantic comedy “Cactus Flower,” finds Adam Sandler and Jennifer Aniston in Hawaii.",The New York Times,"subject: Movies;persons: Sandler, Adam;persons: ANISTON, JENNIFER;persons: Dugan, Dennis;",2011-02-11T01:47:51+0000,1091,The Road to True Love Is Paved With a Whole Lot of Lying,Movie Review | 'Just Go With It',,The Road to True Love Is Paved With a Whole Lot of Lying,,,,By A.O. Scott,,The Road to True Love Is Paved With a Whole Lot of Lying,,,nan,nan,nan
https://www.nytimes.com/1994/09/21/movies/film-review-how-s-love-in-the-90-s-in-a-word-depressing.html,,The New York Times,"persons: SAUNDERS, SCOTT;subject: Reviews;subject: MOTION PICTURES;creative_works: LOST WORDS, THE (MOVIE);",1994-09-21T05:00:00+0000,646,"How's Love in the 90's? In a Word, Depressing",FILM REVIEW,,"FILM REVIEW; How's Love in the 90's? In a Word, Depressing",,,,By Stephen Holden,,"How's Love in the 90's? In a Word, Depressing",,,nan,nan,nan
https://www.nytimes.com/1992/03/22/movies/review-film-festival-roundelay-of-love-on-an-isle-in-wartime.html,Italian soldiers stranded on sunny Greek isle during World War II. Cannily constructed fairy tale.,The New York Times,subject: Reviews;subject: MOTION PICTURES;creative_works: Mediterraneo (Movie);,1992-03-22T05:00:00+0000,581,Review/Film Festival; Roundelay Of Love On an Isle In Wartime,,,Review/Film Festival; Roundelay Of Love On an Isle In Wartime,,,,By Vincent Canby,,Review/Film Festival; Roundelay Of Love On an Isle In Wartime,,,nan,nan,nan
https://www.nytimes.com/2021/04/15/movies/monday-review.html,"Fiery physical contact keeps an expat couple together in Greece, and the sex scenes are enough for a half-dozen movies.",The New York Times,"subject: Movies;persons: Papadimitropoulos, Argyris;persons: Stan, Sebastian;persons: Gough, Denise (1980- );creative_works: Monday (Movie);",2021-04-15T11:00:08+0000,349,‘Monday’ Review: A Year of Love and Its Hangovers,,,Monday,,,,By Glenn Kenny,,‘Monday’ Review,,,nan,nan,nan
https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"subject: Movies;creative_works: My Policeman (Movie);persons: Grandage, Michael;",2022-10-20T16:52:51+0000,303,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",,,My Policeman,,,,By Teo Bugbee,,‘My Policeman’ Review,,,nan,nan,nan
https://www.nytimes.com/1997/11/21/movies/dance-review-it-s-never-too-late-to-fall-in-love-the-tango-shows.html,Jack Anderson reviews dance performance featuring Argentine company called Tango x 2; photo (S),The New York Times,glocations: ARGENTINA;organizations: tango x 2;subject: Reviews;subject: Dancing;,1997-11-21T05:00:00+0000,601,"It's Never Too Late to Fall In Love, the Tango Shows",DANCE REVIEW,,"DANCE REVIEW; It's Never Too Late to Fall In Love, the Tango Shows",,,,By Jack Anderson,,"It's Never Too Late to Fall In Love, the Tango Shows",,,nan,nan,nan
https://www.nytimes.com/2002/11/08/movies/film-review-a-50-s-picket-fence-around-love.html,"Todd Haynes (&quot;Safe,&quot; &quot;Velvet Goldmine&quot;) has both updated the now-classic Douglas Sirk melodramas of the 1950's and paid ardent, intelligent homage to their lush, subversive spirit. Julianne Moore plays Cathy Whitaker, a Hartfor...",The New York Times,"persons: Haynes, Todd;persons: Quaid, Dennis;persons: Haysbert, Dennis;persons: Moore, Julianne;subject: MOTION PICTURES;subject: Reviews;creative_works: Far from Heaven (Movie);",2002-11-08T05:00:00+0000,1298,A 50's Picket Fence Around Love,FILM REVIEW,,FILM REVIEW; A 50's Picket Fence Around Love,,,,By A. O. Scott,,A 50's Picket Fence Around Love,,,nan,nan,nan
https://www.nytimes.com/1990/04/13/movies/review-film-vital-signs-on-doctors-in-love-and-conflict.html,Med students in love.,The New York Times,subject: Reviews;subject: MOTION PICTURES;creative_works: Vital Signs (Movie);,1990-04-13T05:00:00+0000,649,"Review/Film;   'Vital Signs,' On Doctors In Love And Conflict",,,"Review/Film;   'Vital Signs,' On Doctors In Love And Conflict",,,,By Janet Maslin,,"Review/Film;   'Vital Signs,' On Doctors In Love And Conflict",,,nan,nan,nan
https://www.nytimes.com/1997/10/03/movies/critic-s-choice-film-mayhem-and-young-love-in-a-chilling-prototype.html,"Critic's Choice column recommends Terrence Malick's classic 1973 film Badlands, starring Cissy Spacek and Martin Sheen; photo (S)",The New York Times,"persons: Sheen, Martin;persons: Spacek, Cissy;persons: Malick, Terrence;subject: MOTION PICTURES;subject: Reviews;creative_works: Badlands (Movie);",1997-10-03T05:00:00+0000,228,Critic's Choice/Film; Mayhem and Young Love In a Chilling Prototype,,,Critic's Choice/Film; Mayhem and Young Love In a Chilling Prototype,,,,By Janet Maslin,,Critic's Choice/Film; Mayhem and Young Love In a Chilling Prototype,,,nan,nan,nan
https://www.nytimes.com/2017/01/26/movies/paris-0559-theo-hugo-review.html,"The movie features its title characters meeting in a sex club, then venturing out into the Paris night for a more intimate assessment.",The New York Times,"subject: Movies;persons: Ducastel, Olivier;persons: Martineau, Jacques;",2017-01-26T21:59:30+0000,464,Review: ‘Paris 05:59 Théo & Hugo’ Finds Two Men Out to Get Lucky,,,"First Make Love, Then Fall in Love?",,,,By Jeannette Catsoulis,,Review: ‘Paris 05:59 Théo & Hugo’ Finds Two Men Out to Get Lucky,,,nan,nan,nan
https://www.nytimes.com/2020/12/21/movies/review-ariana-grande-excuse-me-i-love-you.html,"Sometimes it’s enough to adore a pop star from afar, even if you aren’t an Arianator.",The New York Times,"subject: Pop and Rock Music;subject: Documentary Films and Programs;creative_works: Ariana Grande: Excuse Me, I Love You (Movie);persons: Grande, Ariana;persons: Dugdale, Paul (1980- );subject: Content Type: Personal Profile;",2020-12-22T03:50:45+0000,380,"‘Ariana Grande: Excuse Me, I Love You’ Review: It’s Mutual",Streaming,,"Excuse Me, the Feeling Is Mutual",,,,By Chris Azzopardi,,"‘Ariana Grande: Excuse Me, I Love You’ Review",,,nan,nan,nan
https://www.nytimes.com/1998/05/22/movies/film-review-a-love-triangle-where-rage-is-a-problem.html,Insurance salesman takes up boxing to keep his fiancÀee. Superficial.,The New York Times,"persons: Tsukamoto, Shinya;subject: MOTION PICTURES;subject: Reviews;creative_works: Tokyo Fist (Movie);",1998-05-22T05:00:00+0000,425,A Love Triangle Where Rage Is a Problem,FILM REVIEW,,FILM REVIEW; A Love Triangle Where Rage Is a Problem,,,,By Lawrence Van Gelder,,A Love Triangle Where Rage Is a Problem,,,nan,nan,nan
https://www.nytimes.com/2012/08/17/movies/catherine-deneuve-in-beloved.html,"The French director Christophe Honoré laces “Beloved,” a musical film starring Catherine Deneuve and Chiara Mastroianni, with whimsy and loss.",The New York Times,"subject: Movies;persons: Honore, Christophe;persons: Deneuve, Catherine;",2012-08-16T22:43:43+0000,807,"Love, Sex, Desire and Lyrics (Oh, and Stiletto Pumps) Across the Decades",Movie Review,,"Love, Sex, Desire and Lyrics (Oh, and Stiletto Pumps) Across the Decades",,,,By A.O. Scott,,"Love, Sex, Desire and Lyrics (Oh, and Stiletto Pumps) Across the Decades",,,nan,nan,nan
https://www.nytimes.com/2013/11/22/movies/detroit-unleaded-a-low-octane-comedy.html,"A gas station looms large in “Detroit Unleaded,” a soft-spoken Arab-American romantic comedy.",The New York Times,"subject: Movies;creative_works: Detroit Unleaded (Movie);persons: Nashef, Rola;persons: Shouhayib, Nada;persons: Assi, E J;",2013-11-21T23:52:02+0000,237,Love Among the Gas Pumps,Movie Review,,Detroit Unleaded,,,,By Neil Genzlinger,,Love Among the Gas Pumps,,,nan,nan,nan
https://www.nytimes.com/2001/09/21/movies/film-review-love-in-a-mixed-marriage-is-framed-by-a-lot-of-hate.html,"A O Scott reviews movie Rocky Road, written and directed by Geoff Cunningham; photo (S)",The New York Times,"persons: CUNNINGHAM, GEOFF;subject: MOTION PICTURES;subject: Reviews;creative_works: Rocky Road (Movie);",2001-09-21T05:00:00+0000,442,Love in a Mixed Marriage Is Framed by a Lot of Hate,FILM REVIEW,,FILM REVIEW; Love in a Mixed Marriage Is Framed by a Lot of Hate,,,,By A. O. Scott,,Love in a Mixed Marriage Is Framed by a Lot of Hate,,,nan,nan,nan
https://www.nytimes.com/2000/12/29/movies/film-review-an-oft-told-love-fable-layer-by-exotic-layer.html,"Excerpts from Elvis Mitchell's review of Im Kwon Taek's movie Chunhyang, shown as part of this year's New York Film Festival; photo (M)",The New York Times,"persons: Mitchell, Elvis;persons: IM KWON TAEK;subject: MOTION PICTURES;subject: Reviews;subject: New York Film Festival;creative_works: CHUNHYANG (MOVIE);",2000-12-29T05:00:00+0000,497,"An Oft-Told Love Fable, Layer by Exotic Layer",FILM REVIEW,,"FILM REVIEW; An Oft-Told Love Fable, Layer by Exotic Layer",,,,,,"An Oft-Told Love Fable, Layer by Exotic Layer",,,nan,nan,nan
https://www.nytimes.com/2014/06/09/movies/holiday-follows-a-soldier-on-home-leave-in-mumbai.html,"In remake of 2012 Tamil hit, Akshay Kumar stars as a captain on home leave in “Holiday.”",The New York Times,"subject: Movies;persons: Kumar, Akshay;persons: Murugadoss, A R;persons: Sinha, Sonakshi;",2014-06-08T21:55:43+0000,355,"A Paragon of Honor, With a Little Time Off for Love",Movie Review,,"A Paragon of Honor, With a Little Time Off for Love",,,,By Rachel Saltz,,"A Paragon of Honor, With a Little Time Off for Love",,,nan,nan,nan
https://www.nytimes.com/1999/10/29/movies/country-music-where-hearts-don-t-cheat-and-love-is-the-current.html,Ben Ratliff reviews country music performance by Clint Black (S),The New York Times,"persons: Black, Clint;subject: Music;subject: Reviews;",1999-10-29T05:00:00+0000,352,"Where Hearts Don't Cheat, And Love Is the Current",COUNTRY MUSIC,,"COUNTRY MUSIC; Where Hearts Don't Cheat, And Love Is the Current",,,,By Ben Ratliff,,"Where Hearts Don't Cheat, And Love Is the Current",,,nan,nan,nan
https://www.nytimes.com/2017/11/09/movies/review-in-thelma-a-woman-in-love-can-burn-down-the-world.html,"In Joachim Trier’s sly psychological thriller “Thelma,” a child-woman finds love and discovers that behaving like a good girl can be a very bad idea.",The New York Times,"subject: Movies;creative_works: Thelma (Movie);persons: Trier, Joachim;",2017-11-09T20:08:31+0000,757,"Review: In ‘Thelma,’ a Woman in Love Can Burn Down the World",,,A Woman in Love Can Burn Down the World,,,,By Manohla Dargis,,"Review: In ‘Thelma,’ a Woman in Love Can Burn Down the World",,,nan,nan,nan
https://www.nytimes.com/1997/08/29/movies/theft-adultery-and-good-old-love.html,"Irish Gypsy leader betrayed. Splendid performances, choppy storytelling.",The New York Times,"persons: Harris, Richard;persons: Rea, Stephen;persons: Mackinnon, Gillies;subject: MOTION PICTURES;subject: Reviews;creative_works: Trojan Eddie (Movie);",1997-08-29T05:00:00+0000,602,"Theft, Adultery and Good Old Love",FILM REVIEW,,"Theft, Adultery and Good Old Love",,,,By Stephen Holden,,"Theft, Adultery and Good Old Love",,,nan,nan,nan
https://www.nytimes.com/1994/11/04/movies/film-review-family-values-and-love-in-vietnam-aftermath.html,Vietnam veteran and children in 1970 Mississippi. Overloaded allegory.,The New York Times,"persons: Avnet, Jon;persons: Costner, Kevin;persons: Wood, Elijah;subject: Reviews;subject: MOTION PICTURES;creative_works: WAR, THE (MOVIE);",1994-11-04T05:00:00+0000,710,Family Values and Love In Vietnam Aftermath,FILM REVIEW,,FILM REVIEW; Family Values and Love In Vietnam Aftermath,,,,By Janet Maslin,,Family Values and Love In Vietnam Aftermath,,,nan,nan,nan
